Region,Sex,Age group,Year,"Rate (per 100,000)",Counts,Population
Prince Edward Island,Both sexes,'35-49',2013,466,140,30070
Prince Edward Island,Both sexes,'50-64',2013,1103,350,31720
Prince Edward Island,Both sexes,'65-79',2013,1956,330,16870
Prince Edward Island,Both sexes,'80+',2013,3291,180,5470
Prince Edward Island,Both sexes,'35+',2014,1329,1120,84270
Prince Edward Island,Both sexes,'35-49',2014,408,120,29430
Prince Edward Island,Both sexes,'50-64',2014,1317,420,31880
Prince Edward Island,Both sexes,'65-79',2014,2396,420,17530
Prince Edward Island,Both sexes,'80+',2014,2952,160,5420
Prince Edward Island,Both sexes,'35+',2015,1269,1070,84310
Prince Edward Island,Both sexes,'35-49',2015,377,110,29150
Prince Edward Island,Both sexes,'50-64',2015,1198,380,31720
Prince Edward Island,Both sexes,'65-79',2015,2168,390,17990
