Region,Sex,Age group,Year,"Rate (per 100,000)",Counts,Population
Newfoundland and Labrador,Both sexes,'20-34',2015,210,170,81080
Newfoundland and Labrador,Both sexes,'35-49',2015,303,310,102370
Newfoundland and Labrador,Both sexes,'50-64',2015,262,320,122190
Newfoundland and Labrador,Both sexes,'65-79',2015,303,230,75960
Newfoundland and Labrador,Both sexes,'80+',2015,192,40,20800
Newfoundland and Labrador,Both sexes,'1+',2016,400,1960,490350
Newfoundland and Labrador,Both sexes,'1-19',2016,967,840,86850
Newfoundland and Labrador,Both sexes,'20-34',2016,238,190,79970
Newfoundland and Labrador,Both sexes,'35-49',2016,317,320,100880
Newfoundland and Labrador,Both sexes,'50-64',2016,279,340,122000
Newfoundland and Labrador,Both sexes,'65-79',2016,278,220,79220
Newfoundland and Labrador,Both sexes,'80+',2016,280,60,21440
Newfoundland and Labrador,Both sexes,'1+',2017,413,2010,486400
Newfoundland and Labrador,Both sexes,'1-19',2017,1025,880,85830
Newfoundland and Labrador,Both sexes,'20-34',2017,259,200,77180
Newfoundland and Labrador,Both sexes,'35-49',2017,326,320,98100
Newfoundland and Labrador,Both sexes,'50-64',2017,256,310,121110
Newfoundland and Labrador,Both sexes,'65-79',2017,280,230,82140
Newfoundland and Labrador,Both sexes,'80+',2017,227,50,22020
Newfoundland and Labrador,Females,'1+',2008,474,1170,246980
Newfoundland and Labrador,Females,'1-19',2008,1016,470,46260
Newfoundland and Labrador,Females,'20-34',2008,399,180,45140
Newfoundland and Labrador,Females,'35-49',2008,361,210,58100
Newfoundland and Labrador,Females,'50-64',2008,312,180,57640
Newfoundland and Labrador,Females,'65-79',2008,355,100,28180
Newfoundland and Labrador,Females,'80+',2008,428,50,11680
Newfoundland and Labrador,Females,'1+',2009,524,1300,248060
Newfoundland and Labrador,Females,'1-19',2009,1025,470,45860
Newfoundland and Labrador,Females,'20-34',2009,422,190,45070
Newfoundland and Labrador,Females,'35-49',2009,435,250,57430
Newfoundland and Labrador,Females,'50-64',2009,391,230,58810
Newfoundland and Labrador,Females,'65-79',2009,379,110,29050
Newfoundland and Labrador,Females,'80+',2009,506,60,11860
Newfoundland and Labrador,Females,'1+',2010,522,1300,248830
Newfoundland and Labrador,Females,'1-19',2010,1144,520,45460
Newfoundland and Labrador,Females,'20-34',2010,357,160,44850
Newfoundland and Labrador,Females,'35-49',2010,425,240,56450
Newfoundland and Labrador,Females,'50-64',2010,352,210,59690
Newfoundland and Labrador,Females,'65-79',2010,396,120,30320
Newfoundland and Labrador,Females,'80+',2010,249,30,12030
Newfoundland and Labrador,Females,'1+',2011,445,1110,249400
Newfoundland and Labrador,Females,'1-19',2011,1019,460,45140
Newfoundland and Labrador,Females,'20-34',2011,337,150,44530
Newfoundland and Labrador,Females,'35-49',2011,360,200,55540
Newfoundland and Labrador,Females,'50-64',2011,283,170,60050
