Scenario,Region,Variable,Year,Value,Sector,Unit
Current Policies,Manitoba,Natural Gas,2042,8.958,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2042,0.5708,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2042,12.64,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2042,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2043,8.9484,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2043,0.5707,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2043,13.1853,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2043,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2044,8.9241,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2044,0.5706,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2044,13.73,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2044,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2045,8.9182,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2045,0.5707,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2045,14.2731,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2045,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2046,8.8894,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2046,0.5707,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2046,14.8148,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2046,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2047,8.7962,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2047,0.5634,Electric Generation,Petajoules
